"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"35186-13152","3B","Matt","Matt Carpenter","Carpenter","8.857575387665719","33","3200","PHI@STL","STL","PHI","","","","",""
"35186-5189","OF","Josh","Josh Reddick","Reddick","8.38965527764682","29","3100","KAN@HOU","HOU","KAN","","","","",""
"35186-6312","3B","Justin","Justin Turner","Turner","7.881818366773201","33","3100","ATL@LOS","LOS","ATL","","","","",""
"35186-85307","OF","Jeff","Jeff McNeil","McNeil","9.378787878787879","33","3100","NYM@SDP","NYM","SDP","","","","",""
"35186-12985","OF","Avisail","Avisail Garcia","Garcia","9.372413372171335","29","3100","ARI@TAM","TAM","ARI","","","","","6"
"35186-5122","C","Alex","Alex Avila","Avila","14.583333333333334","6","3000","ARI@TAM","ARI","TAM","IL","Quadriceps","","","0"
"35186-21612","SS","Nick","Nick Ahmed","Ahmed","9.176470588235293","34","3000","ARI@TAM","ARI","TAM","","","","","7"
"35186-73875","OF","Jose","Jose Martinez","Martinez","7.823529411764706","34","3000","PHI@STL","STL","PHI","","","","",""
"35186-16964","OF","Yoenis","Yoenis Cespedes","Cespedes","11.460526315789474","38","3000","NYM@SDP","NYM","SDP","IL","Heel","","",""
"35186-13909","OF","Randal","Randal Grichuk","Grichuk","9.04117629107307","34","3000","MIN@TOR","TOR","MIN","","","","","3"
"35186-12931","OF","Wil","Wil Myers","Myers","8.594118006089154","34","3000","NYM@SDP","SDP","NYM","","","","",""
"35186-12970","OF","A.J.","A.J. Pollock","Pollock","8.178571428571429","28","3000","ATL@LOS","LOS","ATL","IL","Elbow","","",""
"35186-81622","C","Mitch","Mitch Garver","Garver","13.22352959127987","17","3000","MIN@TOR","MIN","TOR","","","","","0"
"35186-6029","2B","Jed","Jed Lowrie","Lowrie","10.446496659783042","157","3000","NYM@SDP","NYM","SDP","IL","Knee","","",""
"35186-5062","1B","Ryan","Ryan Zimmerman","Zimmerman","7.949999722567472","22","3000","WAS@MIL","WAS","MIL","IL","Foot","","",""
"35186-52176","1B","Max","Max Muncy","Muncy","9.594285365513393","35","3000","ATL@LOS","LOS","ATL","","","","",""
"35186-80848","C","Victor","Victor Caratini","Caratini","13.550000508626303","6","3000","MIA@CHC","CHC","MIA","IL","Hand","","","0"
"35186-39086","OF","Byron","Byron Buxton","Buxton","9.790000406901042","30","2900","MIN@TOR","MIN","TOR","","","","","9"
"35186-83188","3B","Kelvin","Kelvin Gutierrez","Gutierrez","12.311111450195312","9","2900","KAN@HOU","KAN","HOU","","","","","7"
"35186-5390","2B","Robinson","Robinson Cano","Cano","7.596774193548387","31","2900","NYM@SDP","NYM","SDP","","","","",""
"35186-53725","3B","Renato","Renato Nunez","Nunez","9.193939208984375","33","2900","BOS@BAL","BAL","BOS","","","","","4"
"35186-38412","SS","Corey","Corey Seager","Seager","8","36","2900","ATL@LOS","LOS","ATL","","","","",""
"35186-16947","2B","Jonathan","Jonathan Schoop","Schoop","9.893103237809806","29","2900","MIN@TOR","MIN","TOR","","","","","7"
"35186-13961","OF","Kevin","Kevin Kiermaier","Kiermaier","9.383870770854335","31","2900","ARI@TAM","TAM","ARI","","","","","7"
"35186-21172","2B","Brandon","Brandon Drury","Drury","7.836666870117187","30","2900","MIN@TOR","TOR","MIN","","","","","7"
"35186-12988","C","Robinson","Robinson Chirinos","Chirinos","9.484000244140624","25","2900","KAN@HOU","HOU","KAN","","","","",""
"35186-82659","SS","Carter","Carter Kieboom","Kieboom","6.480000305175781","10","2900","WAS@MIL","WAS","MIL","","","","",""
"35186-13096","2B","Brian","Brian Dozier","Dozier","7.0548386112336186","31","2900","WAS@MIL","WAS","MIL","","","","",""
"35186-13102","SS","Freddy","Freddy Galvis","Galvis","8.91290283203125","31","2900","MIN@TOR","TOR","MIN","","","","","2"
"35186-54068","OF","Hunter","Hunter Renfroe","Renfroe","8.35483870967742","31","2900","NYM@SDP","SDP","NYM","","","","",""
"35186-52187","1B","Ji-Man","Ji-Man Choi","Choi","9.299999872843424","24","2900","ARI@TAM","TAM","ARI","","","","","3"
"35186-13303","C","Yasmani","Yasmani Grandal","Grandal","9.993547993321572","31","2900","WAS@MIL","MIL","WAS","","","","","3"
"35186-13354","2B","Cesar","Cesar Hernandez","Hernandez","9.068750381469727","32","2800","PHI@STL","PHI","STL","","","","",""
"35186-38965","1B","C.J.","C.J. Cron","Cron","8.463333129882812","30","2800","MIN@TOR","MIN","TOR","","","","","5"
"35186-83051","3B","David","David Bote","Bote","8.857142857142858","28","2800","MIA@CHC","CHC","MIA","","","","","7"
"35186-5299","C","Russell","Russell Martin","Martin","8.95999984741211","10","2800","ATL@LOS","LOS","ATL","","","","",""
"35186-12660","2B","Daniel","Daniel Descalso","Descalso","8.085185298213252","27","2800","MIA@CHC","CHC","MIA","DTD","Ankle","","","0"
"35186-38319","OF","Odubel","Odubel Herrera","Herrera","7.0473680998149675","19","2800","PHI@STL","PHI","STL","","","","",""
"35186-12928","1B","Eric","Eric Hosmer","Hosmer","9.752941355985755","34","2800","NYM@SDP","SDP","NYM","","","","",""
"35186-84655","OF","Stevie","Stevie Wilkerson","Wilkerson","8.5","11","2800","BOS@BAL","BAL","BOS","","","","","6"
"35186-5077","OF","Dexter","Dexter Fowler","Fowler","8.175862279431573","29","2800","PHI@STL","STL","PHI","","","","",""
"35186-68589","SS","Amed","Amed Rosario","Rosario","9.25","32","2800","NYM@SDP","NYM","SDP","","","","",""
"35186-12577","OF","Jarrod","Jarrod Dyson","Dyson","9.146153963529146","26","2700","ARI@TAM","ARI","TAM","","","","","0"
"35186-12585","OF","Mark","Mark Trumbo","Trumbo","9.002222357855903","90","2700","BOS@BAL","BAL","BOS","IL","Knee","","","0"
"35186-79160","OF","Alex","Alex Verdugo","Verdugo","7.544117647058823","34","2700","ATL@LOS","LOS","ATL","","","","",""
"35186-5434","OF","Ryan","Ryan Braun","Braun","9.684848669803504","33","2700","WAS@MIL","MIL","WAS","","","","","0"
"35186-79213","SS","Scott","Scott Kingery","Kingery","8.642857142857142","14","2700","PHI@STL","PHI","STL","IL","Hamstring","","",""
"35186-79249","OF","Harrison","Harrison Bader","Bader","7.721739395805027","23","2700","PHI@STL","STL","PHI","","","","",""
"35186-38297","C","Austin","Austin Barnes","Barnes","8.155172413793103","29","2700","ATL@LOS","LOS","ATL","","","","",""
